,treatment,score,dimention
532,LD6,0.10082778750606414,56
533,LD6,0.09816141493821084,57
534,LD6,0.10323076796057495,58
535,LD6,0.10174803537624333,59
536,LD6,0.10279357678423895,60
537,LD6,0.09832205975842712,61
538,LD6,0.09932807615466266,62
539,LD6,0.09835518220682182,63
540,LD6,0.09855530900073961,64
541,LD6,0.09545879413408553,65
542,LD6,0.09565284015305808,66
543,LD6,0.0958690843651041,67
544,D1A,,0
545,D1A,-0.08593944914415363,1
546,D1A,0.10201706408543876,2
547,D1A,0.152895432478933,3
548,D1A,0.2269292031956136,4
549,D1A,0.20561080800891562,5
550,D1A,0.17623967117091655,6
551,D1A,0.16883323944877693,7
552,D1A,0.17147653096423932,8
553,D1A,0.16698947559992527,9
554,D1A,0.17382038427996305,10
555,D1A,0.18567104254444466,11
556,D1A,0.18684988917072898,12
557,D1A,0.17910594699638138,13
558,D1A,0.17107864654633398,14
559,D1A,0.16467687312404256,15
560,D1A,0.16011562665526247,16
561,D1A,0.15482281965654388,17
562,D1A,0.15070620779418442,18
563,D1A,0.1477968596411514,19
564,D1A,0.14448896105801223,20
565,D1A,0.1426676924814616,21
566,D1A,0.13830856510325729,22
567,D1A,0.1337784496341462,23
568,D1A,0.12935442460676594,24
569,D1A,0.12455097631427425,25
570,D1A,0.1192991120168495,26
571,D1A,0.11514843623043236,27
572,D1A,0.11419392507312853,28
573,D1A,0.1123977168661413,29
574,D1A,0.10819721821613437,30
575,D1A,0.10663385620588162,31
576,D1A,0.1035670136988186,32
577,D1A,0.10210120932648936,33
578,D1A,0.0995002297792904,34
579,D1A,0.09649953937409839,35
580,D1A,0.09600743115337773,36
581,D1A,0.09537484086574066,37
582,D1A,0.09460671959537637,38
583,D1A,0.09419110907631889,39
584,D1A,0.09131842216019659,40
585,D1A,0.08848725366518084,41
586,D1A,0.0866835533515733,42
587,D1A,0.08448855576542902,43
588,D1A,0.08214669993667134,44
589,D1A,0.08190707887456883,45
590,D1A,0.07998992551547701,46
591,D1A,0.07916124590460549,47
592,D1A,0.07883220789825851,48
593,D1A,0.07668014343644913,49
594,D1A,0.0746661038951737,50
595,D1A,0.07264531072829694,51
596,D1A,0.07003580809824406,52
597,D1A,0.07154655318713077,53
598,D1A,0.07079683847830187,54
599,D1A,0.07064876002856546,55
600,D1A,0.06942535532540683,56
601,D1A,0.06895162781434139,57
602,D1A,0.06675115634204343,58
603,D1A,0.06635692093087497,59
604,D1A,0.06471900396169494,60
605,D1A,0.06348464601006254,61
606,D1A,0.062091370460921835,62
607,D1A,0.06313226798816007,63
608,D1A,0.0613417731865431,64
609,D1A,0.06044841995542227,65
610,D1A,0.061058951272780604,66
611,D1A,0.059914190880383966,67
612,D2K,,0
613,D2K,0.20331311914752404,1
614,D2K,0.3326430791319296,2
615,D2K,0.3115889001341311,3
616,D2K,0.26189650682169474,4
617,D2K,0.21820864942712692,5
618,D2K,0.19731624062072395,6
619,D2K,0.21308689096416333,7
620,D2K,0.19343893055508876,8
621,D2K,0.19086282760045625,9
622,D2K,0.19417501469188692,10
623,D2K,0.18516442924392806,11
624,D2K,0.19380833106600537,12
625,D2K,0.19866993438122205,13
626,D2K,0.1989152743452678,14
627,D2K,0.20123322757549933,15
628,D2K,0.21390029894738205,16
629,D2K,0.20985975603390428,17
630,D2K,0.214002047222415,18
631,D2K,0.2067085785488446,19
632,D2K,0.2214064779797592,20
