,size,treatment,animal,dimension,Embedding
6564,-4.254352831415991,LES,S0,16,body
6565,-4.775589985011527,LES,S0,17,body
6566,-4.935017110138341,LES,S0,18,body
6567,-5.393202664434234,LES,S0,19,body
6568,-5.607618089830389,LES,S0,20,body
6569,-5.584321566110878,LES,S0,21,body
6570,-5.861903328890015,LES,S0,22,body
6571,-5.994896300980934,LES,S0,23,body
6572,-6.445118938408752,LES,S0,24,body
6573,-6.735544137299906,LES,S0,25,body
6574,-6.625582410501641,LES,S0,26,body
6575,-6.666877058168583,LES,S0,27,body
6576,-6.8144395322400495,LES,S0,28,body
6577,-7.098426838068433,LES,S0,29,body
6578,-7.121687984983927,LES,S0,30,body
6579,-7.474910107976446,LES,S0,31,body
6580,-7.532337314275445,LES,S0,32,body
6581,-7.4594150128978995,LES,S0,33,body
6582,-7.4831325818207395,LES,S0,34,body
6583,-7.523267426268191,LES,S0,35,body
6584,-7.960780399589305,LES,S0,36,body
6585,-8.096609037513387,LES,S0,37,body
6586,-8.113959369756564,LES,S0,38,body
6587,-8.132769614975228,LES,S0,39,body
6588,-8.370621318017148,LES,S0,40,body
6589,-8.356276245630472,LES,S0,41,body
6590,-8.43869875403698,LES,S0,42,body
6591,-8.81752849738666,LES,S0,43,body
6592,-8.793196665795175,LES,S0,44,body
6593,-8.860681990936907,LES,S0,45,body
6594,-8.835114075373033,LES,S0,46,body
6595,-9.466148258466808,LES,S0,47,body
6596,-9.762870752792512,LES,S0,48,body
6597,-9.831264784880618,LES,S0,49,body
6598,-10.385593904677565,LES,S0,50,body
6599,-9.81379733433695,LES,S0,51,body
6600,-9.714716081053885,LES,S0,52,body
6601,-9.940383859359393,LES,S0,53,body
6602,-10.14069055984406,LES,S0,54,body
6603,-10.136300403224068,LES,S0,55,body
6604,-10.295431309085723,LES,S0,56,body
6605,-10.292268405576952,LES,S0,57,body
6606,-10.42576578554724,LES,S0,58,body
6607,-10.434211910869301,LES,S0,59,body
6608,0.7592481019104343,LES,S0,1,head
6609,-1.1413124209743701,LES,S0,2,head
6610,-1.9664850990651923,LES,S0,3,head
6611,-2.4174040990453745,LES,S0,4,head
6612,-3.357219366160029,LES,S0,5,head
6613,-3.2189517956364853,LES,S0,6,head
6614,-4.138522777308051,LES,S0,7,head
6615,-4.547090854167609,LES,S0,8,head
6616,-5.86708385668837,LES,S0,9,head
6617,-6.369757070239707,LES,S0,10,head
6618,-7.063745460761644,LES,S0,11,head
6619,-7.296637186665636,LES,S0,12,head
6620,-6.926950865506366,LES,S0,13,head
6621,-6.564064125376603,LES,S0,14,head
6622,-6.285954057193005,LES,S0,15,head
6623,-6.321848589245701,LES,S0,16,head
6624,-6.501309691859023,LES,S0,17,head
6625,-5.981313983649705,LES,S0,18,head
6626,-5.9631262066794735,LES,S0,19,head
6627,-6.2125501067597755,LES,S0,20,head
6628,-6.250331776499047,LES,S0,21,head
6629,-6.07800774052559,LES,S0,22,head
6630,-6.039470017058408,LES,S0,23,head
6631,-6.2272353599555,LES,S0,24,head
6632,-6.3066989069568935,LES,S0,25,head
6633,-6.141003433395633,LES,S0,26,head
6634,-6.156596093652195,LES,S0,27,head
6635,-6.367354360032481,LES,S0,28,head
6636,-6.177400102401844,LES,S0,29,head
6637,-6.175944315742855,LES,S0,30,head
